rank_in_dataset_backbone	is_best_for_dataset_backbone	dataset	dataset_slug	backbone	variant	hparams_id	hparams_json	stage	n_completed	n_planned	seeds_completed	mean_balanced_accuracy	std_balanced_accuracy	mean_accuracy	std_accuracy	best_run_id	best_seed	best_balanced_accuracy
2		workload	workload	biot	coords3d_rbf	coords3d_rbf_axes_n6_gain0p10	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_init_gain"":0.1}"	stage1_screen	1	1	42	0.5216666666666666	0.0	0.7163636363636363	0.0	stage1_screen_workload_biot_coords3d_rbf_axes_n6_gain0p10_s42	42	0.5216666666666666
		workload	workload	biot	coords3d	coords3d_gain0p10	"{""spatial_init_gain"":0.1}"	stage1_screen	0	1								
		workload	workload	biot	coords3d_reference	coords3d_reference_gain0p10	"{""spatial_init_gain"":0.1}"	stage1_screen	0	1								
1	yes	workload	workload	cbramod	coords3d_rbf	coords3d_rbf_axes_n6_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	1	1	42	0.5866666666666667	0.0	0.52	0.0	stage1_screen_workload_cbramod_coords3d_rbf_axes_n6_pair64_s42	42	0.5866666666666667
2		workload	workload	cbramod	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axes_n6_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	1	1	42	0.575	0.0	0.509090909090909	0.0	stage1_screen_workload_cbramod_coords3d_geodesic_rbf_axes_n6_pair64_s42	42	0.575
3		workload	workload	cbramod	coords3d_geodesic_rbf	coords3d_geodesic_rbf_pair64_graph1_k4	"{""graph_depth"":1,""graph_k_neighbors"":4,""graph_sigma_scale"":1.0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	1	1	42	0.5650000000000001	0.0	0.4581818181818182	0.0	stage1_screen_workload_cbramod_coords3d_geodesic_rbf_pair64_graph1_k4_s42	42	0.5650000000000001
4		workload	workload	cbramod	coords3d_geodesic_rbf	coords3d_geodesic_rbf_axesdiag_n4_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes_diagonal"",""n_rbf"":4}}"	stage1_screen	1	1	42	0.5591666666666666	0.0	0.48	0.0	stage1_screen_workload_cbramod_coords3d_geodesic_rbf_axesdiag_n4_pair64_s42	42	0.5591666666666666
5		workload	workload	cbramod	coords3d_rbf	coords3d_rbf_axesdiag_n4_pair64	"{""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes_diagonal"",""n_rbf"":4}}"	stage1_screen	1	1	42	0.5566666666666666	0.0	0.4763636363636364	0.0	stage1_screen_workload_cbramod_coords3d_rbf_axesdiag_n4_pair64_s42	42	0.5566666666666666
6		workload	workload	cbramod	coords3d_rbf	coords3d_rbf_axes_n8_pair128	"{""graph_depth"":0,""native_pair_dim"":128,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":8}}"	stage1_screen	1	1	42	0.5225	0.0	0.43272727272727274	0.0	stage1_screen_workload_cbramod_coords3d_rbf_axes_n8_pair128_s42	42	0.5225
		workload	workload	cbramod	coords3d	coords3d_pair32	"{""graph_depth"":0,""native_pair_dim"":32}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d	coords3d_pair64	"{""graph_depth"":0,""native_pair_dim"":64}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d	coords3d_pair64_graph1_k4	"{""graph_depth"":1,""graph_k_neighbors"":4,""graph_sigma_scale"":1.0,""native_pair_dim"":64}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_distbias	coords3d_distbias_pair128_scale0p05_n12	"{""dist_bias_scale"":0.05,""graph_depth"":0,""native_pair_dim"":128,""spatial_embedding_kwargs"":{""n_rbf"":12}}"	stage1_screen	0	1								
		workload	workload	cbramod	coords3d_distbias	coords3d_distbias_pair64_scale0p02_n8	"{""dist_bias_scale"":0.02,""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""n_rbf"":8}}"	stage1_screen	0	1								
